店名,服务
 陶德砂锅(营门口店) ,9.2
 龙翔山庄雷鸡肉(青城山店) ,9.2
 将军府壹号·鸡毛店(紫荆店) ,9.2
 岷山饭店·THE RIVER HOUSE西餐厅 ,9.2
 海底捞火锅(世豪广场店) ,9.2
 碳楽·满腹和牛烧肉店(保利中心店) ,9.2
 海底捞火锅(龙湖三千集店) ,9.2
 武士的牛·纯血和牛烧肉(双楠店) ,9.2
 ZHAO赵·牛扒坊(万科天荟店) ,9.2
 莲·中餐厅(成都首座万豪酒店) ,9.2
 享月·汤皇(UPARK公园店) ,9.2
 真鑫·硬派烧烤·烤羊腿(蜀都万达总店) ,9.2
